-0.00485	-1e-005
0.20487	0.24837
0.31335	0.9197
0.32126	0.9792
0.34093	1.151
0.35179	1.2516
0.3668	1.394
0.38785	1.6124
0.3969	1.7054
0.40971	1.847
0.41654	1.9232
0.4196	1.9591
0.43942	2.1939
0.47061	2.5819
0.50893	3.1102
0.52927	3.3898
0.56192	3.9109
0.59102	4.403
0.62267	4.939
0.64128	5.2856
0.7	6.5052
0.7249	7.053
0.7438	7.308
0.7523	7.585
0.787	8.309
0.8053	8.906
0.8239	9.198
0.842	9.752
0.8599	10.152
0.8772	10.713
0.8933	11.104
0.909	11.498
0.938	12.257
0.9535	12.753
0.9593	12.93
0.974	13.396
0.9915	13.917
1.0083	14.403
1.0394	15.348
1.0411	15.488
1.0532	15.77
1.057	15.943
1.0691	16.423
1.0808	16.845
1.097	17.318
1.112	17.896
1.1237	18.301
1.1361	18.891
