-u,-i,u,I
-0.00346,-2.67E-07,0.00346,2.67E-07
1.2267,2.793E-06,-1.2267,-2.793E-06
2.0271,3.853E-06,-2.0271,-3.853E-06
3.066,5.275E-06,-3.066,-5.275E-06
4.1547,7.025E-06,-4.1547,-7.025E-06
5.0971,8.953E-06,-5.0971,-8.953E-06
6.215,1.155E-05,-6.215,-1.155E-05
6.921,1.3518E-05,-6.921,-1.3518E-05
8.11,1.7551E-05,-8.11,-1.7551E-05
9.305,2.2406E-05,-9.305,-2.2406E-05
10.029,2.5502E-05,-10.029,-2.5502E-05
11.022,3.064E-05,-11.022,-3.064E-05
11.938,3.6156E-05,-11.938,-3.6156E-05
12.976,4.2708E-05,-12.976,-4.2708E-05
13.821,4.8389E-05,-13.821,-4.8389E-05
15.028,5.778E-05,-15.028,-5.778E-05
16.031,6.631E-05,-16.031,-6.631E-05
17.056,7.483E-05,-17.056,-7.483E-05
18.103,8.526E-05,-18.103,-8.526E-05
19.144,9.594E-05,-19.144,-9.594E-05
20.047,0.00010735,-20.047,-0.00010735
21.058,0.00011756,-21.058,-0.00011756
22.125,0.00013055,-22.125,-0.00013055
23.145,0.00014221,-23.145,-0.00014221
24.147,0.00015568,-24.147,-0.00015568
25.181,0.00016884,-25.181,-0.00016884
26.042,0.00018221,-26.042,-0.00018221
27.145,0.00019682,-27.145,-0.00019682
28.052,0.00021017,-28.052,-0.00021017
28.986,0.00022532,-28.986,-0.00022532
29.684,0.00023538,-29.684,-0.00023538
30.149,0.00024308,-30.149,-0.00024308
