-0.00496	-1e-005
0.43575	0.05131
0.53591	0.49937
0.56644	0.9357
0.58671	1.4057
0.60278	1.9608
0.60288	1.9458
0.61361	2.4424
0.62265	2.9351
0.62887	3.3765
0.63659	3.9279
0.64235	4.4407
0.64667	4.869
0.65233	5.4386
0.65576	5.8716
0.65957	6.3746
0.663	6.852
0.6661	7.433
0.6689	7.792
0.6721	8.35
0.6731	8.546
0.6745	8.791
0.6774	9.339
0.6805	10.199
0.6818	10.294
0.6832	10.751
0.6857	11.208
0.6882	11.846
0.6898	12.313
0.6911	12.648
0.6929	13.195
0.6949	13.824
0.6966	14.242
0.6983	14.815
0.6996	15.319
0.7008	15.775
0.7024	16.357
0.7036	16.766
0.7048	17.277
0.7062	17.799
0.7074	18.238
0.7085	18.771
0.7101	19.392
