-0.00478	0
0.5505	0.00472
0.7112	0.28975
0.7553	1.2594
0.7633	1.7968
0.7716	2.2687
0.7766	2.7181
0.7812	3.2675
0.7855	3.7484
0.7897	4.3022
0.7931	4.7334
0.7957	5.2094
0.7982	5.694
0.801	6.2939
0.8025	6.666
0.8049	7.174
0.8068	7.627
0.8086	8.284
0.8099	8.662
0.8118	9.208
0.813	9.723
0.8146	10.192
0.8156	10.652
0.8171	11.271
0.8183	11.71
0.8177	11.373
0.8184	11.805
0.8198	12.269
0.8207	12.659
0.8217	13.243
0.8223	13.564
0.8234	14.136
0.8246	14.618
0.8253	15.111
0.8263	15.671
0.8271	16.145
0.8279	16.674
0.8287	17.098
0.8298	17.756
0.8303	18.09
0.831	18.568
0.8318	19.145
