-u,-ri,-I,u,I
-0.00475,-1E-05,-1E-08,0.00475,1E-08
0.48896,0,0,-0.48896,0
1.1509,3E-05,3E-08,-1.1509,-3E-08
1.548,8E-05,8E-08,-1.548,-8E-08
2.123,0.00011,1.1E-07,-2.123,-1.1E-07
2.524,0.00016,1.6E-07,-2.524,-1.6E-07
3.0879,0.00019,1.9E-07,-3.0879,-1.9E-07
3.4717,0.00025,2.5E-07,-3.4717,-2.5E-07
4.0744,0.00027,2.7E-07,-4.0744,-2.7E-07
4.5567,0.00032,3.2E-07,-4.5567,-3.2E-07
5.1813,0.00039,3.9E-07,-5.1813,-3.9E-07
5.5238,0.00043,4.3E-07,-5.5238,-4.3E-07
6.1098,0.00047,4.7E-07,-6.1098,-4.7E-07
6.5308,0.0005,5E-07,-6.5308,-5E-07
7.113,0.00064,6.4E-07,-7.113,-6.4E-07
7.466,0.00067,6.7E-07,-7.466,-6.7E-07
8.119,0.00074,7.4E-07,-8.119,-7.4E-07
8.547,0.00078,7.8E-07,-8.547,-7.8E-07
8.992,0.00084,8.4E-07,-8.992,-8.4E-07
9.475,0.00089,8.9E-07,-9.475,-8.9E-07
9.768,0.22255,0.00022255,-9.768,-0.00022255
9.783,0.785,0.000785,-9.783,-0.000785
9.791,1.211,0.001211,-9.791,-0.001211
9.792,1.223,0.001223,-9.792,-0.001223
9.812,2.1603,0.0021603,-9.812,-0.0021603
9.823,2.6505,0.0026505,-9.823,-0.0026505
9.835,3.1271,0.0031271,-9.835,-0.0031271
9.843,3.6325,0.0036325,-9.843,-0.0036325
9.861,4.081,0.004081,-9.861,-0.004081
9.869,4.9537,0.0049537,-9.869,-0.0049537
9.884,5.055,0.005055,-9.884,-0.005055
9.89,5.5499,0.0055499,-9.89,-0.0055499
9.902,6.0894,0.0060894,-9.902,-0.0060894
9.91,6.5635,0.0065635,-9.91,-0.0065635
9.921,7.023,0.007023,-9.921,-0.007023
9.933,7.528,0.007528,-9.933,-0.007528
