ue,uo
-15.089,-0.6955
-13.962,-0.6924
-12.887,-0.6886
-12.003,-0.6848
-10.908,-0.6803
-10.059,-0.6767
-8.932,-0.6709
-7.906,-0.6659
-6.996,-0.6595
-6.057,-0.6519
-4.8558,-0.6411
-4.0365,-0.6292
-3.0023,-0.6123
-2.0961,-0.5903
-0.989,-0.05325
0.00116,0.00194
-0.00429,-0.0043
1.0133,1.0133
2.1412,2.1419
3.0887,3.089
4.0104,4.0071
5.1022,5.1037
6.0855,6.0862
6.999,6.996
8.135,8.151
9.044,9.07
9.4,9.389
9.631,9.483
9.932,9.538
10.138,9.558
10.996,9.598
12.028,9.625
13.236,9.643
14.127,9.657
15.127,9.666
