ri,u,I
-3E-05,-0.00466,-3E-08
0,0.05279,0
0.00029,1.4878,2.9E-07
0.04462,1.7156,4.462E-05
0.11853,1.751,0.00011853
0.36625,1.7857,0.00036625
0.59449,1.8065,0.00059449
0.7108,1.8174,0.0007108
1.0231,1.8334,0.0010231
1.6371,1.8547,0.0016371
1.8783,1.8612,0.0018783
2.091,1.868,0.002091
2.48,1.8827,0.00248
2.7416,1.8865,0.0027416
3.1846,1.8952,0.0031846
3.3779,1.9019,0.0033779
3.8114,1.9123,0.0038114
4.4036,1.9276,0.0044036
4.9471,1.9356,0.0049471
5.6514,1.9534,0.0056514
6.4136,1.969,0.0064136
7.389,1.9872,0.007389
7.708,1.9934,0.007708
8.44,2.0078,0.00844
8.728,2.0114,0.008728
8.985,2.0175,0.008985
9.623,2.0274,0.009623
10.467,2.0439,0.010467
10.883,2.0504,0.010883
11.585,2.0639,0.011585
11.882,2.069,0.011882
12.271,2.0753,0.012271
12.812,2.0857,0.012812
13.326,2.0933,0.013326
13.697,2.1006,0.013697
14.252,2.1075,0.014252
14.752,2.1173,0.014752
15.23,2.1283,0.01523
15.627,2.1342,0.015627
16.166,2.1407,0.016166
16.325,2.1457,0.016325
16.574,2.1507,0.016574
16.896,2.1562,0.016896
17.647,2.1698,0.017647
